nom_c	nom_l	nom_s	color	vol_vox	vol_mm3	xv	yv	zv	xmm	ymm	zmm
G_Frontal_Mid-2-R	G_Frontal_Mid-2-R	F2_2_R	22	6045	6045	59	172	101	31.5472291149711	45.3017369727047	27.6019851116625
G_Frontal_Mid-3-L	G_Frontal_Mid-3-L	F2_3_L	23	1048	1048	130	158	109	-39.1536259541985	30.962786259542	36.2719465648855
G_Frontal_Mid-3-R	G_Frontal_Mid-3-R	F2_3_R	24	2501	2501	54	160	109	37.2435025989604	32.9004398240704	35.6009596161535
G_Frontal_Mid-4-L	G_Frontal_Mid-4-L	F2_4_L	25	4025	4025	129	147	121	-37.7644720496894	19.5562732919255	47.8951552795031
G_Frontal_Mid-4-R	G_Frontal_Mid-4-R	F2_4_R	26	3435	3435	52	149	120	38.6940320232897	21.909461426492	47.4340611353712
G_Frontal_Mid-5-L	G_Frontal_Mid-5-L	F2_5_L	27	1813	1813	134	147	111	-43.4026475455047	20.0049641478213	38.3745173745174
G_Frontal_Mid-5-R	G_Frontal_Mid-5-R	F2_5_R	28	4379	4379	49	144	115	41.7478876455812	17.2770038821649	42.2626170358529
S_Inf_Frontal-1-L	S_Inf_Frontal-1-L	f2_1_L	29	4799	4799	135	165	85	-44.1748280891852	38.4044592623463	12.1352365076058
S_Inf_Frontal-1-R	S_Inf_Frontal-1-R	f2_1_R	30	2219	2219	45	167	83	46.3271744028842	39.8116268589455	9.86029743127536
S_Inf_Frontal-2-L	S_Inf_Frontal-2-L	f2_2_L	31	9605	9605	134	142	103	-42.7722019781364	15.1855283706403	29.8954711087975
S_Inf_Frontal-2-R	S_Inf_Frontal-2-R	f2_2_R	32	9432	9432	47	146	102	43.7699321458863	18.605491942324	28.5702926208651
G_Frontal_Inf_Tri-1-L	G_Frontal_Inf_Tri-1-L	F3t_L	33	10585	10585	141	153	78	-49.7214926783184	25.5592820028342	5.19055266887105
G_Frontal_Inf_Tri-1-R	G_Frontal_Inf_Tri-1-R	F3t_R	34	7880	7880	41	156	78	50.0380710659898	28.7913705583756	5.07893401015228
G_Frontal_Sup_Orb-1-L	G_Frontal_Sup_Orb-1-L	F1O_L	35	3270	3270	104	179	53	-12.7256880733945	51.9428134556575	-20.3039755351682
G_Frontal_Sup_Orb-1-R	G_Frontal_Sup_Orb-1-R	F1O_R	36	2999	2999	78	177	52	12.7179059686562	50.1020340113371	-21.245081693898
G_Frontal_Mid_Orb-1-L	G_Frontal_Mid_Orb-1-L	F2O1_L	37	751	751	126	184	65	-34.7523302263648	56.5392809587217	-8.07589880159787
G_Frontal_Mid_Orb-1-R	G_Frontal_Mid_Orb-1-R	F2O1_R	38	1438	1438	55	184	66	36.308066759388	56.9895688456189	-6.87065368567455
G_Frontal_Mid_Orb-2-L	G_Frontal_Mid_Orb-2-L	F2O2_L	39	4369	4369	132	176	67	-41.011673151751	49.0105287251087	-5.54383154039826
G_Frontal_Mid_Orb-2-R	G_Frontal_Mid_Orb-2-R	F2O2_R	40	3115	3115	51	177	69	39.9447833065811	50.3650080256822	-4.34285714285714
G_Frontal_Inf_Orb-1-L	G_Frontal_Inf_Orb-1-L	F3O1_L	41	1341	1341	134	159	56	-43.4161073825503	31.6912751677852	-16.5167785234899
G_Frontal_Inf_Orb-1-R	G_Frontal_Inf_Orb-1-R	F3O1_R	42	2178	2178	46	160	58	44.5670339761249	33.301652892562	-15.0321395775941
G_Frontal_Inf_Orb-2-L	G_Frontal_Inf_Orb-2-L	F3O2_L	43	4460	4460	112	150	52	-21.3930493273543	22.8188340807175	-21.0224215246637
G_Frontal_Inf_Orb-2-R	G_Frontal_Inf_Orb-2-R	F3O2_R	44	4057	4057	69	150	53	21.5102292334237	22.7153068770027	-20.1841262016268
S_Orbital-1-L	S_Orbital-1-L	orb1_L	45	2361	2361	116	166	58	-25.0529436679373	38.8729351969504	-15.4303261329945
S_Orbital-1-R	S_Orbital-1-R	orb1_R	46	2958	2958	66	169	58	25.001014198783	41.7985125084517	-15.2058823529412
S_Orbital-2-L	S_Orbital-2-L	orb2_L	47	1949	1949	122	161	60	-31.2488455618266	34.0282195997948	-13.2632119035403
S_Orbital-2-R	S_Orbital-2-R	orb2_R	48	2210	2210	62	161	60	29.189592760181	34.4307692307692	-13.0891402714932
S_Olfactory-1-L	S_Olfactory-1-L	olf_L	49	3845	3845	96	166	49	-5.40416124837451	38.5308192457737	-23.7903771131339
S_Olfactory-1-R	S_Olfactory-1-R	olf_R	50	3849	3849	86	165	49	5.4640166276955	38.4705118212523	-23.7877370745648
S_Precentral-1-L	S_Precentral-1-L	prec1_L	51	2105	2105	140	133	99	-49.4194774346793	6.12399049881236	25.9230403800475
S_Precentral-1-R	S_Precentral-1-R	prec1_R	52	2754	2754	41	137	97	50.0435729847495	9.69789397240379	24.2291212781409
S_Precentral-2-L	S_Precentral-2-L	prec2_L	53	2458	2458	116	119	132	-25.1004882017901	-8.46786004882019	58.7144019528072
S_Precentral-2-R	S_Precentral-2-R	prec2_R	54	2542	2542	65	119	132	25.9421715184894	-7.60031471282454	58.6215578284815
S_Precentral-3-L	S_Precentral-3-L	prec3_L	55	449	449	110	118	142	-18.6035634743875	-9.13363028953229	69.1314031180401
S_Precentral-3-R	S_Precentral-3-R	prec3_R	56	250	250	71	121	142	20.052	-6.06399999999999	69.028
S_Precentral-4-L	S_Precentral-4-L	prec4_L	57	5849	5849	133	128	123	-41.9553769875192	0.924431526756706	50.0945460762524
S_Precentral-4-R	S_Precentral-4-R	prec4_R	58	4588	4588	48	128	122	43.4627288578901	1.14537925021796	49.0052310374891
S_Precentral-5-L	S_Precentral-5-L	prec5_L	59	1141	1141	147	132	104	-56.2436459246275	5.23488168273445	31.1384750219106
S_Precentral-5-R	S_Precentral-5-R	prec5_R	60	1153	1153	34	135	102	57.0659150043365	8.3911535125759	28.9835212489159
S_Precentral-6-L	S_Precentral-6-L	prec6_L	61	990	990	121	116	137	-29.6646464646465	-11.1787878787879	64.4313131313131
S_Precentral-6-R	S_Precentral-6-R	prec6_R	62	827	827	60	118	138	30.7883917775091	-9.4993954050786	65.3446191051995
S_Rolando-1-L	S_Rolando-1-L	rol1_L	63	9667	9667	145	119	106	-54.2424743974346	-8.07561808213509	32.6494258818661
S_Rolando-1-R	S_Rolando-1-R	rol1_R	64	8969	8969	36	122	105	55.1783922399376	-4.96766640651131	31.7388783587914
S_Rolando-2-L	S_Rolando-2-L	rol2_L	65	3088	3088	134	113	124	-43.2762305699482	-14.0087435233161	50.6829663212435
S_Rolando-2-R	S_Rolando-2-R	rol2_R	66	2768	2768	46	116	122	44.6361994219653	-10.7308526011561	48.9859104046243
S_Rolando-3-L	S_Rolando-3-L	rol3_L	67	8340	8340	130	104	134	-38.7004796163069	-23.3546762589928	61.4484412470024
S_Rolando-3-R	S_Rolando-3-R	rol3_R	68	9426	9426	54	107	134	36.8193295141099	-19.9051559516232	60.8046891576491
S_Rolando-4-L	S_Rolando-4-L	rol4_L	69	8287	8287	114	98	138	-23.3055387957041	-29.1940388560396	65.2173283456015
S_Rolando-4-R	S_Rolando-4-R	rol4_R	70	5891	5891	69	100	139	22.3615684943134	-27.4169071464947	66.1848582583602
S_Postcentral-1-L	S_Postcentral-1-L	post1_L	71	1584	1584	149	110	105	-57.8434343434344	-17.4785353535353	32.2058080808081
S_Postcentral-1-R	S_Postcentral-1-R	post1_R	72	1921	1921	33	112	106	58.3076522644456	-14.7558563248308	32.725143154607
S_Postcentral-2-L	S_Postcentral-2-L	post2_L	73	4178	4178	132	93	128	-40.7412637625658	-33.7474868358066	55.2273815222595
S_Postcentral-2-R	S_Postcentral-2-R	post2_R	74	6418	6418	50	97	126	40.8794016827672	-29.6324400124649	53.0155811779371
S_Postcentral-3-L	S_Postcentral-3-L	post3_L	75	4500	4500	134	95	117	-42.696	-32.4502222222222	44.2695555555556
S_Postcentral-3-R	S_Postcentral-3-R	post3_R	76	612	612	36	106	115	55.2140522875817	-21.078431372549	41.6650326797386
G_Parietal_Sup-1-L	G_Parietal_Sup-1-L	P1_1_L	77	330	330	115	80	132	-24.3545454545455	-47.4666666666667	58.6484848484849
G_Parietal_Sup-1-R	G_Parietal_Sup-1-R	P1_1_R	78	723	723	67	80	136	23.8492392807746	-47.0248962655602	63.3734439834025
G_Parietal_Sup-2-L	G_Parietal_Sup-2-L	P1_2_L	79	1518	1518	110	79	140	-18.9578392621871	-47.6455862977602	66.6805006587615
G_Parietal_Sup-2-R	G_Parietal_Sup-2-R	P1_2_R	80	1743	1743	71	81	141	20.0195065978199	-45.5312679288583	67.5054503729203
G_Parietal_Sup-3-L	G_Parietal_Sup-3-L	P1_3_L	81	2033	2033	121	75	138	-29.9744220363994	-51.688145597639	65.3939990162322
G_Parietal_Sup-3-R	G_Parietal_Sup-3-R	P1_3_R	82	1131	1131	62	78	141	29.2537577365164	-49.4155614500442	68.3527851458886
G_Parietal_Sup-4-L	G_Parietal_Sup-4-L	P1_4_L	83	1581	1581	116	73	129	-25.010752688172	-54.4724857685009	56.4667931688805
G_Parietal_Sup-4-R	G_Parietal_Sup-4-R	P1_4_R	84	2005	2005	66	75	131	25.2563591022444	-51.7206982543641	57.8733167082294
G_Parietal_Sup-5-L	G_Parietal_Sup-5-L	P1_5_L	85	3443	3443	107	65	133	-16.2518152773744	-62.0380482137671	60.423467905896
G_Parietal_Sup-5-R	G_Parietal_Sup-5-R	P1_5_R	86	2014	2014	76	69	135	15.4409136047666	-58.4195630585899	62.2423038728898
G_Supramarginal-1-L	G_Supramarginal-1-L	SMG1_L	87	1955	1955	145	97	95	-54.0388746803069	-29.802557544757	21.6726342710997
G_Supramarginal-1-R	G_Supramarginal-1-R	SMG1_R	88	2626	2626	37	100	95	54.2901751713633	-26.5921553693831	22.1900228484387
G_SupraMarginal-2-L	G_SupraMarginal-2-L	SMG2_L	89	2217	2217	150	98	99	-59.0780333784393	-28.9589535408209	26.0500676589986
G_SupraMarginal-2-R	G_SupraMarginal-2-R	SMG2_R	90	2787	2787	32	100	102	58.8159311087191	-26.5880875493362	28.8503767491927
G_Supramarginal-3-L	G_Supramarginal-3-L	SMG3_L	91	2469	2469	150	100	110	-58.8849736735521	-27.3134872417983	37.0842446334548
G_Supramarginal-3-R	G_Supramarginal-3-R	SMG3_R	92	1804	1804	31	104	112	59.9750554323725	-22.9041019955654	38.7832594235033
G_Supramarginal-4-L	G_Supramarginal-4-L	SMG4_L	93	2603	2603	150	89	111	-59.3960814444871	-38.1444487130234	37.6895889358433
G_Supramarginal-4-R	G_Supramarginal-4-R	SMG4_R	94	2291	2291	31	92	112	60.3814927979048	-35.1484068092536	38.5325185508512
G_SupraMarginal-5-L	G_SupraMarginal-5-L	SMG5_L	95	765	765	149	85	103	-57.9084967320262	-42.359477124183	30.0849673202614
G_SupraMarginal-5-R	G_SupraMarginal-5-R	SMG5_R	96	1398	1398	31	87	101	59.8862660944206	-39.7424892703863	27.7711015736767
G_SupraMarginal-6-L	G_SupraMarginal-6-L	SMG6_L	97	801	801	145	84	119	-53.6516853932584	-42.6516853932584	45.9250936329588
G_SupraMarginal-6-R	G_SupraMarginal-6-R	SMG6_R	98	1046	1046	37	89	118	53.925430210325	-38.0688336520077	44.6347992351816
G_SupraMarginal-7-L	G_SupraMarginal-7-L	SMG7_L	99	2273	2273	146	75	99	-55.4786625604928	-51.6410030796305	26.4069511658601
G_SupraMarginal-7-R	G_SupraMarginal-7-R	SMG7_R	100	970	970	36	81	107	55.4525773195876	-45.5835051546392	33.7948453608247
G_Angular-1-L	G_Angular-1-L	AG1_L	101	4150	4150	139	70	117	-48.2775903614458	-57.2975903614458	43.8951807228916
G_Angular-1-R	G_Angular-1-R	AG1_R	102	4218	4218	40	75	116	50.9540066382172	-52.0324798482693	43.3221906116643
G_Angular-2-L	G_Angular-2-L	AG2_L	103	3679	3679	129	57	113	-38.2128295732536	-70.2383799945637	39.9826039684697
G_Angular-2-R	G_Angular-2-R	AG2_R	104	4536	4536	46	65	110	44.9805996472663	-61.8624338624339	36.9257054673721
G_Angular-3-L	G_Angular-3-L	AG3_L	105	2381	2381	134	56	101	-42.7656446871063	-70.7295254094918	28.1444771104578
G_Angular-3-R	G_Angular-3-R	AG3_R	106	2172	2172	44	64	98	47.0257826887661	-62.9558011049724	25.2384898710866
G_Parietal_Inf-1-L	G_Parietal_Inf-1-L	P2_L	107	1353	1353	137	74	123	-45.5957132298596	-52.7893569844789	50.0886917960089
G_Parietal_Inf-1-R	G_Parietal_Inf-1-R	P2_R	108	3144	3144	48	74	122	43.0540712468193	-53.1720737913486	48.515903307888
S_Intraparietal-1-L	S_Intraparietal-1-L	ips1_L	109	3050	3050	133	85	122	-42.1924590163935	-41.8783606557377	48.7937704918033
S_Intraparietal-1-R	S_Intraparietal-1-R	ips1_R	110	5282	5282	51	87	125	40.2054146156759	-39.6950018932223	51.7014388489209
S_Intraparietal-2-L	S_Intraparietal-2-L	ips2_L	111	6054	6054	125	68	119	-34.3567888999009	-58.5454245127189	46.2485959696069
S_Intraparietal-2-R	S_Intraparietal-2-R	ips2_R	112	5993	5993	53	75	122	37.8693475721675	-51.8651760387118	49.1995661605206
S_Intraparietal-3-L	S_Intraparietal-3-L	ips3_L	113	6177	6177	118	67	118	-27.1062004209163	-59.7176622956128	44.6354217257568
S_Intraparietal-3-R	S_Intraparietal-3-R	ips3_R	114	6351	6351	64	66	120	26.6356479294599	-61.3067233506534	46.8428593922217
S_Intraoccipital-1-L	S_Intraoccipital-1-L	ios_L	115	256	256	115	56	105	-24.38671875	-71.140625	31.76171875
S_Intraoccipital-1-R	S_Intraoccipital-1-R	ios_R	116	256	256	63	58	106	27.91015625	-69.05078125	33.4296875
G_Occipital_Pole-1-L	G_Occipital_Pole-1-L	Opole_L	117	2517	2517	112	32	58	-20.9368295589988	-95.3456495828367	-14.5323798172427
G_Occipital_Pole-1-R	G_Occipital_Pole-1-R	Opole_R	118	3255	3255	67	35	59	23.8076804915515	-92.4337941628264	-13.6817204301075
G_Occipital_Lat-1-L	G_Occipital_Lat-1-L	Olat1_L	119	2568	2568	106	31	74	-15.3352803738318	-96.3590342679128	1.11915887850468
G_Occipital_Lat-1-R	G_Occipital_Lat-1-R	Olat1_R	120	3074	3074	74	33	77	17.2000650618087	-93.606701366298	3.51236174365647
G_Occipital_Lat-2-L	G_Occipital_Lat-2-L	Olat2_L	121	4608	4608	117	34	72	-26.3174913194444	-92.982421875	-1.150390625
G_Occipital_Lat-2-R	G_Occipital_Lat-2-R	Olat2_R	122	5647	5647	63	38	70	28.2897113511599	-88.500265627767	-2.54807862581902
G_Occipital_Lat-3-L	G_Occipital_Lat-3-L	Olat3_L	123	943	943	130	42	62	-39.3711558854719	-85.1760339342524	-11.4326617179215
G_Occipital_Lat-3-R	G_Occipital_Lat-3-R	Olat3_R	124	833	833	48	46	63	43.343337334934	-80.7563025210084	-10.1392557022809
G_Occipital_Lat-4-L	G_Occipital_Lat-4-L	Olat4_L	125	3681	3681	122	39	81	-30.7647378429775	-88.426514534094	8.2586253735398
G_Occipital_Lat-4-R	G_Occipital_Lat-4-R	Olat4_R	126	3554	3554	57	42	81	33.7225661226787	-84.6710748452448	8.26842993809792
G_Occipital_Lat-5-L	G_Occipital_Lat-5-L	Olat5_L	127	7467	7467	126	49	72	-35.482121333869	-78.3866345252444	-0.744475693049424
G_Occipital_Lat-5-R	G_Occipital_Lat-5-R	Olat5_R	128	7974	7974	55	52	75	35.6881113619263	-74.9503386004515	1.68485076498621
G_Occipital_Sup-1-L	G_Occipital_Sup-1-L	O1_1_L	129	1287	1287	106	44	108	-15.4498834498834	-82.5213675213675	35.3916083916084
G_Occipital_Sup-1-R	G_Occipital_Sup-1-R	O1_1_R	130	1205	1205	73	46	112	18.0796680497925	-80.8107883817427	38.5236514522822
G_Occipital_Sup-2-L	G_Occipital_Sup-2-L	O1_2_L	131	4292	4292	105	37	98	-14.2537278657968	-90.3953867660764	25.43825722274
G_Occipital_Sup-2-R	G_Occipital_Sup-2-R	O1_2_R	132	4700	4700	74	39	100	16.9082978723404	-87.6755319148936	27.1921276595745
G_Occipital_Mid-1-L	G_Occipital_Mid-1-L	O2_1_L	133	3894	3894	122	49	99	-31.2604006163328	-78.3176682074987	25.7557781201849
G_Occipital_Mid-1-R	G_Occipital_Mid-1-R	O2_1_R	134	3825	3825	55	52	99	35.5566013071895	-74.5633986928105	26.3508496732026
G_Occipital_Mid-2-L	G_Occipital_Mid-2-L	O2_2_L	135	1749	1749	128	50	87	-37.2189822755861	-76.9159519725557	13.9771297884505
G_Occipital_Mid-2-R	G_Occipital_Mid-2-R	O2_2_R	136	2880	2880	49	55	85	41.509375	-72.0753472222222	11.8131944444444
G_Occipital_Mid-3-L	G_Occipital_Mid-3-L	O2_3_L	137	1662	1662	133	56	90	-42.297833935018	-70.9909747292419	17.488567990373
G_Occipital_Mid-3-R	G_Occipital_Mid-3-R	O2_3_R	138	1146	1146	46	64	88	45.1753926701571	-63.2565445026178	14.8560209424084
G_Occipital_Mid-4-L	G_Occipital_Mid-4-L	O2_4_L	139	3204	3204	127	47	104	-36.314606741573	-80.186329588015	30.8542446941323
G_Occipital_Mid-4-R	G_Occipital_Mid-4-R	O2_4_R	140	4450	4450	50	53	103	40.9119101123595	-73.7957303370787	30.1339325842697
G_Occipital_Inf-1-L	G_Occipital_Inf-1-L	O3_1_L	141	897	897	139	58	69	-48.4972129319955	-69.098104793757	-4.29988851727983
G_Occipital_Inf-1-R	G_Occipital_Inf-1-R	O3_1_R	142	1105	1105	41	67	64	49.8597285067873	-59.5809954751131	-8.65158371040724
G_Occipital_Inf-2-L	G_Occipital_Inf-2-L	O3_2_L	143	2941	2941	136	56	67	-44.6725603536212	-70.9007140428426	-6.26453587215232
G_Occipital_Inf-2-R	G_Occipital_Inf-2-R	O3_2_R	144	3659	3659	44	63	65	47.1210713309647	-64.140475539765	-7.75676414320853
G_Insula-anterior-1-L	G_Insula-anterior-1-L	INSa1_L	145	1766	1766	111	132	54	-20.385617214043	5.38958097395243	-19.3618346545866
G_Insula-anterior-1-R	G_Insula-anterior-1-R	INSa1_R	146	2236	2236	72	135	54	19.4136851520572	7.83273703041144	-19.1847048300537
G_Insula-anterior-2-L	G_Insula-anterior-2-L	INSa2_L	147	3164	3164	125	144	60	-33.6984829329962	16.903603034134	-12.947218710493
G_Insula-anterior-2-R	G_Insula-anterior-2-R	INSa2_R	148	2048	2048	57	145	60	34.33935546875	18.40966796875	-12.91552734375
G_Insula-anterior-3-L	G_Insula-anterior-3-L	INSa3_L	149	3685	3685	124	151	73	-33.3804613297151	23.9156037991859	0.437177747625512
G_Insula-anterior-3-R	G_Insula-anterior-3-R	INSa3_R	150	5896	5896	54	152	72	36.5963364993216	24.5188263229308	-0.58124151967435
G_Insula-anterior-4-L	G_Insula-anterior-4-L	INSa4_L	151	5988	5988	132	142	76	-40.5908483633935	15.4797929191717	2.6690046760187
G_Insula-anterior-4-R	G_Insula-anterior-4-R	INSa4_R	152	4704	4704	51	142	77	40.4953231292517	14.8775510204082	4.30250850340136
G_Insula-anterior-5-L	G_Insula-anterior-5-L	INSa5_L	153	4479	4479	133	126	65	-41.5264567983925	-0.778968519758877	-8.14891716901094
G_Insula-anterior-5-R	G_Insula-anterior-5-R	INSa5_R	154	4411	4411	49	129	64	41.7712536839719	2.46429381092722	-8.89526184538653
G_Insula-posterior-1-L	G_Insula-posterior-1-L	INSp_L	155	7101	7101	133	107	87	-41.7283481199831	-19.5057034220532	14.0239402901
G_Insula-posterior-1-R	G_Insula-posterior-1-R	INSp_R	156	6759	6759	51	107	88	40.3108447995266	-19.9309069388963	14.6787986388519
G_Rolandic_Oper-1-L	G_Rolandic_Oper-1-L	ROLop1_L	157	5357	5357	137	131	82	-46.1879783460892	3.73828635430277	9.42187791674445
G_Rolandic_Oper-1-R	G_Rolandic_Oper-1-R	ROLop1_R	158	4479	4479	45	133	82	46.0937709310114	5.88010716677829	9.36280419736548
G_Rolandic_Oper-2-L	G_Rolandic_Oper-2-L	ROLop2_L	159	4621	4621	141	118	87	-50.403159489288	-9.05669768448388	14.0852629301017
G_Rolandic_Oper-2-R	G_Rolandic_Oper-2-R	ROLop2_R	160	5136	5136	42	121	87	49.389992211838	-6.31853582554517	14.0617211838006
G_Temporal_Sup-1-L	G_Temporal_Sup-1-L	T1_1_L	161	825	825	146	126	75	-55.4072727272727	-1.18787878787879	2.44484848484848
G_Temporal_Sup-1-R	G_Temporal_Sup-1-R	T1_1_R	162	1053	1053	35	129	76	55.7340930674264	2.22032288698955	2.66856600189934
G_Temporal_Sup-2-L	G_Temporal_Sup-2-L	T1_2_L	163	2564	2564	136	116	71	-45.168096723869	-10.8432137285491	-1.58424336973479
G_Temporal_Sup-2-R	G_Temporal_Sup-2-R	T1_2_R	164	2498	2498	45	120	71	46.4495596477182	-6.97678142514012	-1.50600480384307
G_Temporal_Sup-3-L	G_Temporal_Sup-3-L	T1_3_L	165	7761	7761	143	100	84	-51.5227419147017	-27.1700811751063	11.078340420049
G_Temporal_Sup-3-R	G_Temporal_Sup-3-R	T1_3_R	166	6690	6690	34	108	82	57.1569506726457	-19.1373692077728	9.10553064275037
G_Temporal_Sup-4-L	G_Temporal_Sup-4-L	T1_4_L	167	6450	6450	150	104	77	-59.0610852713178	-23.2911627906977	4.27581395348837
G_Temporal_Sup-4-R	G_Temporal_Sup-4-R	T1_4_R	168	5794	5794	30	107	75	60.501725923369	-19.6021746634449	2.2198826372109
S_Sup_Temporal-1-L	S_Sup_Temporal-1-L	STS1_L	169	2545	2545	141	141	52	-49.8915520628684	14.3929273084479	-21.385068762279
S_Sup_Temporal-1-R	S_Sup_Temporal-1-R	STS1_R	170	553	553	39	141	46	52.3291139240506	13.506329113924	-27.1410488245931
S_Sup_Temporal-2-L	S_Sup_Temporal-2-L	STS2_L	171	3176	3176	146	120	60	-54.713476070529	-6.94615869017632	-12.6583753148615
S_Sup_Temporal-2-R	S_Sup_Temporal-2-R	STS2_R	172	6230	6230	37	125	57	54.4430176565008	-2.15088282504013	-15.854735152488
S_Sup_Temporal-3-L	S_Sup_Temporal-3-L	STS3_L	173	4847	4847	145	94	71	-54.0656075923251	-32.520734474933	-1.7557251908397
S_Sup_Temporal-3-R	S_Sup_Temporal-3-R	STS3_R	174	5169	5169	38	96	73	52.6767266395821	-31.4122654285162	-0.462178371058229
S_Sup_Temporal-4-L	S_Sup_Temporal-4-L	STS4_L	175	5520	5520	148	79	87	-56.5697463768116	-48.3030797101449	14.0557971014493
S_Sup_Temporal-4-R	S_Sup_Temporal-4-R	STS4_R	176	6727	6727	36	82	88	54.6632971606957	-45.1256132005352	14.6340121896834
S_Sup_Temporal-5-L	S_Sup_Temporal-5-L	STS5_L	177	6177	6177	139	69	100	-48.0639468997895	-58.1876315363445	26.5557714100696
S_Sup_Temporal-5-R	S_Sup_Temporal-5-R	STS5_R	178	4023	4023	40	73	94	51.3708675118071	-54.0333084762615	21.0014914243102
G_Temporal_Mid-1-L	G_Temporal_Mid-1-L	T2_1_L	179	2932	2932	152	116	56	-61.2769440654843	-11.4031377899045	-16.7121418826739
G_Temporal_Mid-1-R	G_Temporal_Mid-1-R	T2_1_R	180	1740	1740	30	122	52	61.148275862069	-5.25114942528735	-21.4879310344828
G_Temporal_Mid-2-L	G_Temporal_Mid-2-L	T2_2_L	181	3676	3676	154	92	61	-62.8329706202394	-34.7255168661589	-11.9058759521219
G_Temporal_Mid-2-R	G_Temporal_Mid-2-R	T2_2_R	182	4540	4540	27	99	60	63.9299559471366	-28.1101321585903	-12.8090308370044
G_Temporal_Mid-3-L	G_Temporal_Mid-3-L	T2_3_L	183	2134	2134	152	92	68	-60.6836925960637	-35.0051546391753	-4.86410496719775
G_Temporal_Mid-3-R	G_Temporal_Mid-3-R	T2_3_R	184	2021	2021	29	96	68	62.4542305789213	-31.0870856011875	-4.50915388421573
G_Temporal_Mid-4-L	G_Temporal_Mid-4-L	T2_4_L	185	4022	4022	144	68	80	-53.0882645450025	-59.3070611636002	7.32123321730482
G_Temporal_Mid-4-R	G_Temporal_Mid-4-R	T2_4_R	186	2100	2100	34	74	76	57.027619047619	-53.1371428571429	3.03714285714285
G_Temporal_Inf-1-L	G_Temporal_Inf-1-L	T3_1_L	187	7372	7372	138	112	40	-46.9872490504612	-15.1711882799783	-33.4053174172545
G_Temporal_Inf-1-R	G_Temporal_Inf-1-R	T3_1_R	188	7003	7003	46	120	36	45.4055404826503	-7.32343281450807	-36.8404969298872
